"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como cliente autenticado do My Demo App
  Quero finalizar a compra dos itens do carrinho
  Para receber meus produtos em casa","15648","Checkout exige autenticação","","2026-06-14","passed","2026-06-14","","Checkout","Checkout exige autenticação",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","12692","Ordenação do catálogo","","2026-06-14","passed","2026-06-14","","Catálogo","Ordenação do catálogo",""
"  Como cliente autenticado do My Demo App
  Quero finalizar a compra dos itens do carrinho
  Para receber meus produtos em casa","42521","Compra completa de ponta a ponta","","2026-06-14","passed","2026-06-14","","Checkout","Compra completa de ponta a ponta",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","15766","Ordenação do catálogo","","2026-06-14","passed","2026-06-14","","Catálogo","Ordenação do catálogo",""
"  Como cliente do My Demo App
  Quero ajustar a quantidade de um produto
  Para comprar mais de uma unidade de uma vez","13743","Adicionar ao carrinho com quantidade maior que um","","2026-06-14","passed","2026-06-14","","Detalhes do produto","Adicionar ao carrinho com quantidade maior que um",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","14953","Login sem credenciais exige o usuário","","2026-06-14","passed","2026-06-14","","Login","Login sem credenciais exige o usuário",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","17230","Credenciais rejeitadas exibem mensagem de erro","","2026-06-14","passed","2026-06-14","","Login","Credenciais rejeitadas exibem mensagem de erro",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","17316","Credenciais válidas levam ao catálogo","","2026-06-14","passed","2026-06-14","","Login","Credenciais válidas levam ao catálogo",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","23495","Logout encerra a sessão","","2026-06-14","passed","2026-06-14","","Login","Logout encerra a sessão",""
"  Como cliente do My Demo App
  Quero gerenciar os itens do meu carrinho
  Para comprar somente o que eu realmente quero","21216","Adicionar um produto enche o carrinho","","2026-06-14","passed","2026-06-14","","Carrinho","Adicionar um produto enche o carrinho",""
"  Como cliente do My Demo App
  Quero gerenciar os itens do meu carrinho
  Para comprar somente o que eu realmente quero","25195","Adicionar dois produtos diferentes ao carrinho","","2026-06-14","passed","2026-06-14","","Carrinho","Adicionar dois produtos diferentes ao carrinho",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","15286","Ordenação do catálogo","","2026-06-14","passed","2026-06-14","","Catálogo","Ordenação do catálogo",""
"  Como cliente do My Demo App
  Quero gerenciar os itens do meu carrinho
  Para comprar somente o que eu realmente quero","15232","Carrinho vazio leva de volta às compras","","2026-06-14","passed","2026-06-14","","Carrinho","Carrinho vazio leva de volta às compras",""
"  Como cliente do My Demo App
  Quero gerenciar os itens do meu carrinho
  Para comprar somente o que eu realmente quero","21300","Remover o único item esvazia o carrinho","","2026-06-14","passed","2026-06-14","","Carrinho","Remover o único item esvazia o carrinho",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","15465","Ordenação do catálogo","","2026-06-14","passed","2026-06-14","","Catálogo","Ordenação do catálogo",""
"  Como cliente do My Demo App
  Quero ajustar a quantidade de um produto
  Para comprar mais de uma unidade de uma vez","13802","Contador de quantidade aumenta e diminui","","2026-06-14","passed","2026-06-14","","Detalhes do produto","Contador de quantidade aumenta e diminui",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","17662","Credenciais rejeitadas exibem mensagem de erro","","2026-06-14","passed","2026-06-14","","Login","Credenciais rejeitadas exibem mensagem de erro",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","13914","Catálogo lista produtos ao abrir o app","","2026-06-14","passed","2026-06-14","","Catálogo","Catálogo lista produtos ao abrir o app",""
"  Como cliente do My Demo App
  Quero navegar e ordenar o catálogo de produtos
  Para encontrar itens que desejo comprar","15382","Detalhes do produto exibem preço e adicionar ao carrinho","","2026-06-14","passed","2026-06-14","","Catálogo","Detalhes do produto exibem preço e adicionar ao carrinho",""
"  Como cliente do My Demo App
  Quero me autenticar com minhas credenciais
  Para comprar usando a minha conta","16084","Login sem senha exige a senha","","2026-06-14","passed","2026-06-14","","Login","Login sem senha exige a senha",""
"  Como cliente autenticado do My Demo App
  Quero finalizar a compra dos itens do carrinho
  Para receber meus produtos em casa","37637","Pagamento sem número de cartão é bloqueado","","2026-06-14","passed","2026-06-14","","Checkout","Pagamento sem número de cartão é bloqueado",""
